Joint Tag,Target Number,TimeStamp,Elapsed Time,Blinking,Eye Openness Left,Eye Openness Right,Gaze Left X,Gaze Left Y,Gaze Left Z,Gaze Right X,Gaze Right Y,Gaze Right Z,Pupil Diameter Left,Pupil Diameter Right
Eyes,,00:00:00:033,0.03,False,1,1,-0.142334,-0.1349335,0.9805756,-0.06018066,-0.1200256,0.9909363,2.721573,2.872269
Eyes,,00:00:00:050,0.05,False,1,1,-0.1439056,-0.1360168,0.9801941,-0.06051636,-0.1202698,0.9908905,2.700302,2.872253
Eyes,,00:00:00:067,0.07,False,1,1,-0.1450043,-0.1363525,0.9799805,-0.0604248,-0.120285,0.9908905,2.722244,2.878723
Eyes,,00:00:00:083,0.08,False,1,1,-0.1454773,-0.134903,0.9801178,-0.06022644,-0.1203918,0.9908905,2.723938,2.882339
Eyes,,00:00:00:100,0.10,False,1,1,-0.1456451,-0.1362762,0.9799042,-0.05960083,-0.1211548,0.9908295,2.74086,2.882111
Eyes,,00:00:00:117,0.12,False,1,1,-0.1447601,-0.1366425,0.9799805,-0.05783081,-0.1214905,0.9908905,2.758133,2.899933
Eyes,,00:00:00:133,0.13,False,1,1,-0.1440125,-0.1353149,0.9802704,-0.05781555,-0.119812,0.9911041,2.76329,2.900116
Eyes,,00:00:00:150,0.15,False,1,1,-0.1438599,-0.135437,0.9802704,-0.05822754,-0.1193085,0.9911346,2.76593,2.902359
Eyes,,00:00:00:167,0.17,False,1,1,-0.143692,-0.1337585,0.9805298,-0.05822754,-0.1201019,0.9910431,2.77002,2.902374
Eyes,,00:00:00:183,0.18,False,1,1,-0.1430359,-0.1341248,0.9805756,-0.05821228,-0.1187134,0.9912109,2.765839,2.908356
Eyes,,00:00:00:200,0.20,False,1,1,-0.1394958,-0.1342163,0.9810791,-0.05874634,-0.1186981,0.9911804,2.764313,2.91069
Eyes,,00:00:00:217,0.22,False,0.9961106,0.9861007,-0.1395264,-0.134201,0.9810791,-0.05892944,-0.1195831,0.9910583,2.771667,2.9151
Eyes,,00:00:00:233,0.23,False,0.9910505,0.9980797,-0.139328,-0.1333466,0.9812164,-0.05885315,-0.1201324,0.9909973,2.764374,2.924164
Eyes,,00:00:00:250,0.25,False,1,1,-0.139328,-0.1326141,0.9813232,-0.05886841,-0.1201172,0.9909973,2.764404,2.925323
Eyes,,00:00:00:267,0.27,False,0.9909529,0.9942101,-0.1394501,-0.1333466,0.9812012,-0.05905151,-0.1201782,0.9909821,2.771622,2.925262
Eyes,,00:00:00:283,0.28,False,0.9909529,0.9942101,-0.1392517,-0.1335602,0.9812012,-0.05905151,-0.1203308,0.9909668,2.771408,2.9254
Eyes,,00:00:00:300,0.30,False,0.9877174,0.9787742,-0.1380768,-0.1334534,0.9813843,-0.05915833,-0.1199799,0.9909973,2.765472,2.927048
