Joint Tag,Target Number,TimeStamp,Elapsed Time,Motion Detected,Motion Threshold,Position X,Position Y,Position Z,Rotation X,Rotation y,Rotation z,Speed,Velocity X,Velocity Y,Velocity Z,Velocity X (orig),Velocity Y (orig),Velocity Z (orig),Acceleration X,Acceleration Y,Acceleration Z,Acceleration Strength,Direction X,Direction Y,Direction Z,Angular Speed,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Angular Acceleration X,Angular Acceleration Y,Angular Acceleration Z,Angular Acceleration Strength,Angular Axis X,Angular Axis Y,Angular Axis Z
Head,,00:00:00:033,0.03,False,0.08,-1.752112,1.243182,-1.204083,5.064255,8.627426,-1.501312,0.008473564,-0.002474769,-0.003087339,0.007493007,0.0007033249,0.007239101,0.003096345,0.003247315,0.004051111,-0.00983209,-0.01111875,-0.2920576,-0.3643496,0.8842804,0,0,0,0,0,0,0,0,-0.8693727,0.4923373,-0.04236893
Head,,00:00:00:050,0.05,False,0.08,-1.751993,1.243154,-1.204067,5.063522,8.601288,-1.525543,0.009644663,-0.002816797,-0.003514029,0.008528586,0.003116108,0.0001877174,0.004492702,0.003099704,0.003866962,-0.009385159,-0.01061333,-0.2920576,-0.3643496,0.8842804,0,0,0,0,0,0,0,0,-0.8693727,0.4923373,-0.04236893
Head,,00:00:00:067,0.07,False,0.08,-1.751991,1.242983,-1.203895,5.0867,8.591507,-1.540375,0.007954754,-0.002323247,-0.002898311,0.007034233,-0.001120809,-0.01863034,0.01576605,0.006601435,0.008235463,-0.01998756,-0.02260319,-0.2920576,-0.3643496,0.8842804,0,0,0,0,0,0,0,0,-0.8693727,0.4923373,-0.04236893
Head,,00:00:00:083,0.08,False,0.08,-1.751787,1.242986,-1.203886,5.088669,8.586975,-1.546448,0.009589776,-0.002800767,-0.003494031,0.008480052,0.02216061,0.0004281616,0.0009341709,0.002456413,0.00306444,-0.00743743,-0.008410715,-0.2920576,-0.3643496,0.8842804,0,0,0,0,0,0,0,0,-0.8693727,0.4923373,-0.04236893
Head,,00:00:00:100,0.10,False,0.08,-1.751936,1.243161,-1.204101,5.104675,8.611938,-1.543396,0.01086898,-0.003174369,-0.003960108,0.009611226,-0.01392476,0.01627526,-0.02007393,-0.001830546,-0.002283654,0.005542454,0.006267756,-0.2920576,-0.3643496,0.8842804,0,0,0,0,0,0,0,0,-0.8693727,0.4923373,-0.04236893
Head,,00:00:00:117,0.12,False,0.08,-1.751923,1.243136,-1.204059,5.110764,8.612228,-1.542419,0.01311334,-0.00382985,-0.004777838,0.01159587,0.0005882806,-0.001071511,0.001848882,-0.008630688,-0.01076701,0.02613165,0.02955132,-0.2920576,-0.3643496,0.8842804,0,0,0,0,0,0,0,0,-0.8693727,0.4923373,-0.04236893
Head,,00:00:00:133,0.13,False,0.08,-1.751946,1.243155,-1.204066,5.109116,8.610718,-1.543945,0.0115612,-0.003376538,-0.00421232,0.01022335,-0.001060695,0.0008820518,-0.0003237911,-0.006927859,-0.008642686,0.02097589,0.02372086,-0.2920576,-0.3643496,0.8842804,0,0,0,0,0,0,0,0,-0.8693727,0.4923373,-0.04236893
Head,,00:00:00:150,0.15,False,0.08,-1.752078,1.242925,-1.203879,5.130753,8.64502,-1.541168,0.0100952,-0.002948381,-0.003678183,0.008926991,-0.006649538,-0.01155739,0.009408708,-0.003305919,-0.004124221,0.01000953,0.01131941,-0.2920576,-0.3643496,0.8842804,0,0,0,0,0,0,0,0,-0.8693727,0.4923373,-0.04236893
Head,,00:00:00:167,0.17,False,0.08,-1.752067,1.242934,-1.204029,5.134705,8.674301,-1.550659,0.01412457,-0.004125188,-0.00514628,0.01249008,-0.01697721,-0.005500563,0.002493246,-0.01075293,-0.01341457,0.0325573,0.03681785,-0.2920576,-0.3643496,0.8842804,0,0,0,0,0,0,0,0,-0.8693727,0.4923373,-0.04236893
Head,,00:00:00:183,0.18,False,0.08,-1.752024,1.242899,-1.203911,5.131226,8.691345,-1.548889,0.01420237,-0.004147911,-0.005174627,0.01255888,0.004730213,-0.003821064,0.01300479,-0.009256142,-0.01154728,0.02802538,0.03169286,-0.2920576,-0.3643496,0.8842804,0,0,0,0,0,0,0,0,-0.8693727,0.4923373,-0.04236893
