Joint Tag,Target Number,TimeStamp,Elapsed Time,Motion Detected,Motion Threshold,Position X,Position Y,Position Z,Rotation X,Rotation y,Rotation z,Speed,Velocity X,Velocity Y,Velocity Z,Velocity X (orig),Velocity Y (orig),Velocity Z (orig),Acceleration X,Acceleration Y,Acceleration Z,Acceleration Strength,Direction X,Direction Y,Direction Z,Angular Speed,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Angular Acceleration X,Angular Acceleration Y,Angular Acceleration Z,Angular Acceleration Strength,Angular Axis X,Angular Axis Y,Angular Axis Z
RightWrist,,00:00:00:033,0.03,False,0.08,-1.566201,0.7238808,-1.028916,59.80647,-82.39014,-57.65598,0.01929571,0.01673554,0.009506319,-0.001369685,0.001663964,0.002727528,-0.0004031253,-0.07544591,-0.04285567,0.006174709,-0.08698748,0.8673192,0.4926648,-0.07098388,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:050,0.05,False,0.08,-1.566038,0.7239964,-1.029057,59.79523,-82.38852,-57.64859,0.01618067,0.01403381,0.007971647,-0.001148567,0.002315181,0.003303826,-0.001451681,-0.08723646,-0.04955307,0.007139681,-0.1005817,0.8673192,0.4926648,-0.07098388,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:067,0.07,False,0.08,-1.565948,0.7238817,-1.029087,59.79097,-82.37958,-57.64972,0.01255927,0.01089289,0.006187509,-0.0008915056,0.003262801,0.001344971,-0.001407239,-0.08284993,-0.04706139,0.006780675,-0.09552415,0.8673192,0.4926648,-0.07098388,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:083,0.08,False,0.08,-1.565847,0.7239776,-1.02905,59.79277,-82.35599,-57.63263,0.01218272,0.01056631,0.006001997,-0.0008647767,0.01097651,0.01043157,0.003957252,-0.07868537,-0.04469578,0.006439834,-0.09072249,0.8673192,0.4926648,-0.07098388,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:100,0.10,False,0.08,-1.565785,0.7239933,-1.029048,59.79715,-82.3331,-57.6149,0.01082512,0.009388835,0.005333156,-0.0007684091,0.005792699,0.001470454,0.0002227961,-0.08315746,-0.04723607,0.006805844,-0.09587873,0.8673192,0.4926648,-0.07098388,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:117,0.12,False,0.08,-1.565929,0.7241135,-1.029033,59.7789,-82.34204,-57.62714,0.01054016,0.009141682,0.005192765,-0.0007481812,-0.006334522,0.005294526,0.0006460582,-0.07901905,-0.04488533,0.006467145,-0.09110723,0.8673192,0.4926648,-0.07098388,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:133,0.13,False,0.08,-1.566203,0.7238815,-1.029075,59.78908,-82.34067,-57.62854,0.01270322,0.01101775,0.006258431,-0.000901724,-0.01280092,-0.01086375,-0.001953912,-0.04831356,-0.02744363,0.00395412,-0.05570447,0.8673192,0.4926648,-0.07098388,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:150,0.15,False,0.08,-1.566123,0.7237585,-1.029048,59.78841,-82.35254,-57.63678,0.01177912,0.01021625,0.005803156,-0.0008361274,0.004016058,-0.006176709,0.001364622,-0.03644862,-0.02070398,0.00298306,-0.04202446,0.8673192,0.4926648,-0.07098388,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:167,0.17,False,0.08,-1.565736,0.7240326,-1.029212,59.77496,-82.34637,-57.62842,0.01377894,0.01195074,0.006788398,-0.0009780824,0.005204972,0.002416135,-0.002069137,0.001658629,0.0009421539,-0.0001357469,0.001912363,0.8673192,0.4926648,-0.07098388,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:183,0.18,False,0.08,-1.565736,0.7240326,-1.029212,59.77496,-82.34637,-57.62842,0.01188647,0.01030937,0.005856046,-0.0008437479,0,0,0,-0.002147262,-0.001219713,0.0001757381,-0.002475746,0.8673192,0.4926648,-0.07098388,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:200,0.20,False,0.08,-1.565949,0.7240884,-1.029274,59.79837,-82.32458,-57.61139,0.01224765,0.01062262,0.006033987,-0.0008693858,0.004079725,0.003199784,-0.002213184,-0.002271236,-0.001290134,0.0001858844,-0.002618685,0.8673192,0.4926648,-0.07098388,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:217,0.22,False,0.08,-1.56576,0.724196,-1.029188,59.78609,-82.33542,-57.62024,0.01225138,0.01062586,0.006035826,-0.0008696507,0.003824702,0.004039573,-0.001235508,-0.005966808,-0.003389336,0.0004883406,-0.006879598,0.8673192,0.4926648,-0.07098388,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:233,0.23,False,0.08,-1.566298,0.7238827,-1.029081,59.78532,-82.34711,-57.6333,0.01833812,0.01590501,0.009034547,-0.001301711,-0.04807256,-0.02801212,0.009593193,0.03407352,0.01935484,-0.002788675,0.03928602,0.8673192,0.4926648,-0.07098388,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:250,0.25,False,0.08,-1.566139,0.7240894,-1.029101,59.76859,-82.36377,-57.63937,0.01816168,0.01575197,0.008947619,-0.001289186,0.007892816,0.01024412,-0.000986602,0.03054702,0.01735168,-0.002500055,0.03522004,0.8673192,0.4926648,-0.07098388,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:267,0.27,False,0.08,-1.566305,0.7238696,-1.029048,59.74303,-82.40274,-57.66241,0.01581039,0.01371266,0.007789225,-0.001122283,0,0,0,0.02009972,0.01141728,-0.001645018,0.02317453,0.8673192,0.4926648,-0.07098388,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:283,0.28,False,0.08,-1.566275,0.7239001,-1.02906,59.7314,-82.39761,-57.64972,0.01427167,0.0123781,0.007031152,-0.001013059,0.003515156,0.003528941,-0.001364708,0.01213818,0.006894869,-0.000993423,0.01399505,0.8673192,0.4926648,-0.07098388,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:300,0.30,False,0.08,-1.566164,0.7239547,-1.029101,59.74635,-82.47876,-57.69748,0.01254569,0.01088111,0.006180818,-0.0008905414,0.005951128,0.003421296,-0.001228775,-0.01386914,-0.007878113,0.00113509,-0.01599082,0.8673192,0.4926648,-0.07098388,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:317,0.32,False,0.08,-1.565148,0.7244334,-1.029282,59.78069,-82.46326,-57.64044,0.02594414,0.02244486,0.01286521,-0.001952622,0.08435748,0.02824236,-0.01995881,0.05372777,0.03079633,-0.004674124,0.06210423,0.8651227,0.4958813,-0.07526257,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
